Parafia	Miejscowość	Adres	Diecezja	Dekanat	Województwo
Najświętszej Marii Panny na Piasku	Wrocław	Najświętszej Marii Panny na Piasku|ul. Katedralna 12|50-328 Wrocław|woj. dolnośląskie	wrocławska	Wrocław-Katedra	dolnośląskie
Najświętszej Marii Panny Nieustającej Pomocy	Hrubieszów	Najświętszej Marii Panny Nieustającej Pomocy|ul. Dwernickiego 85|22-500 Hrubieszów|woj. lubelskie	zamojsko-lubaczowska	Hrubieszów-Północ	lubelskie
Najświętszej Maryi Pannny Nieustającej Pomocy	Przybysławice	Najświętszej Maryi Pannny Nieustającej Pomocy|Przybysławice 57|32-241 Przybysławice|woj. małopolskie	kielecka	Wodzisław	małopolskie
Najświętszej Maryi Panny	Rudy	Najświętszej Maryi Panny|ul. ul. Cysterska 1|47-430 Rudy|woj. śląskie	gliwicka	Kuźnica Raciborska	śląskie
Najświętszej Maryi Panny Anielskiej	Kleszczów	Najświętszej Maryi Panny Anielskiej|ul. Ogrodowa 2|97-410 Kleszczów|woj. łódzkie	częstochowska	SULMIERZYCKI	łódzkie
Najświętszej Maryi Panny Anielskiej	Poręba	Najświętszej Maryi Panny Anielskiej|ul. Ludowa 41|42-480 Poręba|woj. śląskie	częstochowska	ŚW. PIOTRA I PAWŁA APOSTOŁÓW W ZAWIERCIU	śląskie
Najświętszej Maryi Panny Anielskiej	Bystrzyca Oławska	Najświętszej Maryi Panny Anielskiej|ul. Brzegowa 13|55-200 Bystrzyca Oławska|woj. dolnośląskie	wrocławska	Jelcz-Laskowice	dolnośląskie
Najświętszej Maryi Panny Bolesnej	Gidle	Najświętszej Maryi Panny Bolesnej|ul. Kartuska 97|97-540 Gidle|woj. łódzkie	częstochowska	GIDELSKI	łódzkie
Najświętszej Maryi Panny Częstochowskiej	Częstochowa	Najświętszej Maryi Panny Częstochowskiej|ul. Michałowskiego 28a|42-200 Częstochowa|woj. śląskie	częstochowska	ŚW. WOJCIECHA BM W CZĘSTOCHOWIE	śląskie
Najświętszej Maryi Panny Częstochowskiej	Szczno	Najświętszej Maryi Panny Częstochowskiej|Szczecno 163 C|26-025 Szczno|woj. świętokrzyskie	kielecka	Chmielnik	świętokrzyskie
Najświętszej Maryi Panny Częstochowskiej	Toruń	Najświętszej Maryi Panny Częstochowskiej|ul. Konstytucji 3|87-100 Toruń|woj. kujawsko-pomorskie	toruńska	Toruń I	kujawsko-pomorskie
Najświętszej Maryi Panny Częstochowskiej	Radnica	Najświętszej Maryi Panny Częstochowskiej|Radnica 21|66-600 Radnica|woj. lubuskie	zielonogórsko-gorzowska	Krosno Odrzańskie	lubuskie
Najświętszej Maryi Panny Częstochowskiej	ŁOMŻA	Najświętszej Maryi Panny Częstochowskiej|ul.Poznańska 137|18-402 ŁOMŻA|woj. podlaskie	łomżyńska	Łomża-Św.Brunona	podlaskie
Najświętszej Maryi Panny Częstochowskiej	ŁAWSK	Najświętszej Maryi Panny Częstochowskiej|Ławsk 86|19-222 ŁAWSK|woj. podlaskie	łomżyńska	Szczuczyn	podlaskie
Najświętszej Maryi Panny Częstochowskiej	KLUKOWO	Najświętszej Maryi Panny Częstochowskiej|ul.Szkolna 3|18-214 KLUKOWO|woj. podlaskie	łomżyńska	Szepietowo	podlaskie
Najświętszej Maryi Panny Częstochowskiej	SZUMOWO	Najświętszej Maryi Panny Częstochowskiej|ul.1 Maja 60|18-305 SZUMOWO|woj. podlaskie	łomżyńska	Zambrów	podlaskie
Najświętszej Maryi Panny Częstochowskiej	TABĘDZ	Najświętszej Maryi Panny Częstochowskiej|Tabędz 2|18-300 TABĘDZ|woj. podlaskie	łomżyńska	Zambrów	podlaskie
Najświętszej Maryi Panny Częstochowskiej	PIŁA	Najświętszej Maryi Panny Częstochowskiej|ul.Podchorążych 17|64-920 PIŁA|woj. wielkopolskie	ordynariat polowy	Pomorski Okręg Wojskowy	wielkopolskie
Najświętszej Maryi Panny Częstochowskiej	PIŁA	Najświętszej Maryi Panny Częstochowskiej|ul.Podchorążych 1|64-920 PIŁA|woj. wielkopolskie	ordynariat polowy	Pomorski Okręg Wojskowy	wielkopolskie
Najświętszej Maryi Panny Częstochowskiej	Dąbrowa Górnicza - Łęka	Najświętszej Maryi Panny Częstochowskiej|ul.Przelotowa 195|42-523 Dąbrowa Górnicza - Łęka	sosnowiecka	Dąbrowa Górnicza-Najśwętszego Serca Pana Jezusa	
Najświętszej Maryi Panny Częstochowskiej	Gołubie	Najświętszej Maryi Panny Częstochowskiej|ul. Kościelna 14|83-316 Gołubie|woj. pomorskie	pelplińska	Stężyca	pomorskie
Najświętszej Maryi Panny Częstochowskiej	Lekarzewice	Najświętszej Maryi Panny Częstochowskiej|Lekarzewice 30|88-220 Lekarzewice|woj. kujawsko-pomorskie	włocławska	Bądkowo	kujawsko-pomorskie
Najświętszej Maryi Panny Częstochowskiej	Cetty	Najświętszej Maryi Panny Częstochowskiej|Cetty 5|87-860 Cetty|woj. kujawsko-pomorskie	włocławska	Chodecz	kujawsko-pomorskie
Najświętszej Maryi Panny Częstochowskiej	Kozy	Najświętszej Maryi Panny Częstochowskiej|Kozy 12|88-237 Kozy	włocławska	Piotrków Kujawski	
Najświętszej Maryi Panny Fatimskiej	Kłobuck	Najświętszej Maryi Panny Fatimskiej|ul. 11 Listopada 12|42-100 Kłobuck|woj. śląskie	częstochowska	KŁOBUCKI	śląskie
Najświętszej Maryi Panny Fatimskiej	Sosnowiec	Najświętszej Maryi Panny Fatimskiej|Al. Ks. F. Blachnickiego 9|41-219 Sosnowiec	sosnowiecka	Sosnowiec-Św. Jadwigi Śląskiej	
Najświętszej Maryi Panny i Świętego Jacka	Klimontów	Najświętszej Maryi Panny i Świętego Jacka|ul. Jasieńskiego 2|27-640 Klimontów|woj. świętokrzyskie	sandomierska	Klimontów	świętokrzyskie
Najświętszej Maryi Panny i Wszystkich Świętych	Michorzewo	Najświętszej Maryi Panny i Wszystkich Świętych|ul. Kościelna 2|64-316 Michorzewo|woj. wielkopolskie	poznańska	Buk	wielkopolskie
Najświętszej Maryi Panny Jasnogórskiej	Świerklaniec, Orzech	Najświętszej Maryi Panny Jasnogórskiej|ul. Wieczorków 82a|42-622 Świerklaniec, Orzech|woj. śląskie	gliwicka	Żyglin	śląskie
Najświętszej Maryi Panny Jasnogórskiej	STACHLEW	Najświętszej Maryi Panny Jasnogórskiej|Stachlew 204|99-418 STACHLEW|woj. łódzkie	łowicka	Skierniewice-Św. Jakuba	łódzkie
Najświętszej Maryi Panny Królowej	Lubliniec, Kokotek	Najświętszej Maryi Panny Królowej|ul. Kokotek 22|42-700 Lubliniec, Kokotek|woj. śląskie	gliwicka	Lubliniec	śląskie
Najświętszej Maryi Panny Królowej	Łukowa	Najświętszej Maryi Panny Królowej|Łukowa 132|26-060 Łukowa|woj. świętokrzyskie	kielecka	Chęciny	świętokrzyskie
Najświętszej Maryi Panny Królowej	Gródek n. Dunajcem	Najświętszej Maryi Panny Królowej|Gródek n. Dunajcem 135|33-318 Gródek n. Dunajcem|woj. małopolskie	tarnowska	Zakliczyn	małopolskie
Najświętszej Maryi Panny Królowej	Józefów k. Legionowa	Najświętszej Maryi Panny Królowej|ul. H. Sienkiewicza 12|05-119 Józefów k. Legionowa|woj. mazowieckie	warszawsko-praska	Warszawa-Tarchomin	mazowieckie
Najświętszej Maryi Panny Królowej	Oława-Nowy Otok	Najświętszej Maryi Panny Królowej|ul. Nowy Otok 8|55-200 Oława-Nowy Otok|woj. dolnośląskie	wrocławska	Oława	dolnośląskie
Najświętszej Maryi Panny Królowej	Murzasichle	Najświętszej Maryi Panny Królowej|ul. Sądelska 60|34-531 Murzasichle|woj. małopolskie	krakowska	Biały Dunajec	małopolskie
Najświętszej Maryi Panny Królowej	Buszkowice	Najświętszej Maryi Panny Królowej|Buszkowice 134|37-710 Buszkowice|woj. podkarpackie	przemyska (łac)	Przemyśl II	podkarpackie
Najświętszej Maryi Panny Królowej Aniołów	Kalej	Najświętszej Maryi Panny Królowej Aniołów|Kalej ul. Cmentarna 1|42-221 Kalej|woj. śląskie	częstochowska	TRUSKOLASKI	śląskie
Najświętszej Maryi Panny Królowej Aniołów	Chudów	Najświętszej Maryi Panny Królowej Aniołów|ul. Szkolna 72|44-177 Chudów|woj. śląskie	katowicka	Knurów	śląskie
Najświętszej Maryi Panny Królowej Aniołów	Adamiowice	Najświętszej Maryi Panny Królowej Aniołów|ul. Poprzeczna 15|47-435 Adamiowice|woj. śląskie	katowicka	Pogrzebień	śląskie
Najświętszej Maryi Panny Królowej Aniołów	Popielów	Najświętszej Maryi Panny Królowej Aniołów|ul. Kościuszki 10|46-090 Popielów|woj. opolskie	opolska	Siołkowice	opolskie
Najświętszej Maryi Panny Królowej Apostołów	Ełk	Najświętszej Maryi Panny Królowej Apostołów|ul. Grodzieńska 6|19-300 Ełk|woj. warmińsko-mazurskie	ełcka	Ełk - Miłosierdzia Bożego	warmińsko-mazurskie
Najświętszej Maryi Panny Królowej Apostołów	Ołtarzew	Najświętszej Maryi Panny Królowej Apostołów|ul. Kilińskiego 20|05-850 Ołtarzew|woj. mazowieckie	warszawska	Laski Warszawskie	mazowieckie
Najświętszej Maryi Panny Królowej i Św. Aleksego	TUM	Najświętszej Maryi Panny Królowej i Św. Aleksego|Tum 8|99-100 TUM|woj. łódzkie	łowicka	Łęczyca	łódzkie
Najświętszej Maryi Panny Królowej Męczenników	Wójtowo	Najświętszej Maryi Panny Królowej Męczenników|Kwiatowa 19|11-010 Wójtowo|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Barczewo	warmińsko-mazurskie
Najświętszej Maryi Panny Królowej Pokoju	Olza	Najświętszej Maryi Panny Królowej Pokoju|ul. Szkolna 9|44-353 Olza|woj. śląskie	katowicka	Gorzyce Śląskie	śląskie
Najświętszej Maryi Panny Królowej Pokoju	Łódź	Najświętszej Maryi Panny Królowej Pokoju|ul. Rewolucji 1905|90-215 Łódź|woj. łódzkie	łódzka	Łódź-Bałuty	łódzkie
Najświętszej Maryi Panny Królowej Pokoju	Piotrków Trybunalski	Najświętszej Maryi Panny Królowej Pokoju|ul.Kotarbińskiego 9|97-300 Piotrków Trybunalski|woj. łódzkie	łódzka	Piotrków Trybunalski	łódzkie
Najświętszej Maryi Panny Królowej Pokoju	Baniocha	Najświętszej Maryi Panny Królowej Pokoju|Willowa 2|05-532 Baniocha|woj. mazowieckie	warszawska	Konstancin	mazowieckie
Najświętszej Maryi Panny Królowej Pokoju	Kiciny	Najświętszej Maryi Panny Królowej Pokoju|Kiciny 57|07-230 Kiciny|woj. mazowieckie	warszawsko-praska	Jadów	mazowieckie
Najświętszej Maryi Panny Królowej Polsk	Choczewo	Najświętszej Maryi Panny Królowej Polsk|ul. Pierwszych Osadników 57|84-210 Choczewo|woj. pomorskie	pelplińska	Gniewino	pomorskie
Najświętszej Maryi Panny Królowej Polsk	Włocławek	Najświętszej Maryi Panny Królowej Polsk|ul. Krokusowa 2|87-800 Włocławek|woj. kujawsko-pomorskie	włocławska	Włocławek I	kujawsko-pomorskie
Najświętszej Maryi Panny Królowej Polski	Częstochowa	Najświętszej Maryi Panny Królowej Polski|ul. Konwaliowa 59|42-280 Częstochowa|woj. śląskie	częstochowska	NMP JASNOGÓRSKIEJ W CZĘSTOCHOWIE	śląskie
Najświętszej Maryi Panny Królowej Polski	Radomsko	Najświętszej Maryi Panny Królowej Polski|ul. Piastowska 45|97-500 Radomsko|woj. łódzkie	częstochowska	NAJŚW. SERCA PANA JEZUSA W RADOMSKU	łódzkie
Najświętszej Maryi Panny Królowej Polski	Lubień	Najświętszej Maryi Panny Królowej Polski|LUBIEŃ|97-334 Lubień	częstochowska	ROZPRZAŃSKI	
Najświętszej Maryi Panny Królowej Polski	Parzniewice	Najświętszej Maryi Panny Królowej Polski|Parzniewice 14|97-371 Parzniewice|woj. łódzkie	częstochowska	ROZPRZAŃSKI	łódzkie
Najświętszej Maryi Panny Królowej Polski	Olecko	Najświętszej Maryi Panny Królowej Polski|Plac Wolności 18|19-400 Olecko|woj. warmińsko-mazurskie	ełcka	Olecko - Niepokalanego Poczęcia NMP	warmińsko-mazurskie
Najświętszej Maryi Panny Królowej Polski	Gdynia	Najświętszej Maryi Panny Królowej Polski|Gdynia ul. Armii Krajowej 26|81-372 Gdynia|woj. pomorskie	gdańska	Gdynia Śródmieście	pomorskie
Najświętszej Maryi Panny Królowej Polski	Kobielice	Najświętszej Maryi Panny Królowej Polski|ul. Kościelna 2|43-262 Kobielice|woj. śląskie	katowicka	Pszczyna	śląskie
Najświętszej Maryi Panny Królowej Polski	Suków	Najświętszej Maryi Panny Królowej Polski|Suków 15|26-024 Suków	kielecka	Daleszyce	
Najświętszej Maryi Panny Królowej Polski	Kielce	Najświętszej Maryi Panny Królowej Polski|ul. Chęcińska 2|25-020 Kielce|woj. świętokrzyskie	kielecka	Kielce Śródmieście	świętokrzyskie
Najświętszej Maryi Panny Królowej Polski	Klimontów	Najświętszej Maryi Panny Królowej Polski|Klimontów nr 77|32-112 Klimontów|woj. małopolskie	kielecka	Proszowice	małopolskie
Najświętszej Maryi Panny Królowej Polski	Biały Bór	Najświętszej Maryi Panny Królowej Polski|Plac Jana Pawła II 1a|78-425 Biały Bór|woj. zachodniopomorskie	koszlińsko-kołobrzeska	Bobolice	zachodniopomorskie
Najświętszej Maryi Panny Królowej Polski	Wojcieszów	Najświętszej Maryi Panny Królowej Polski|ul. Bolesława Chrobrego 201|59-550 Wojcieszów|woj. dolnośląskie	legnicka	Świerzawa	dolnośląskie
Najświętszej Maryi Panny Królowej Polski	Nasutów	Najświętszej Maryi Panny Królowej Polski|Nasutów 30a|21-025 Nasutów|woj. lubelskie	lubelska	Lublin-Północ	lubelskie
Najświętszej Maryi Panny Królowej Polski	Polańczyk	Najświętszej Maryi Panny Królowej Polski|ul. ks. F. Stopy 3|38-610 Polańczyk|woj. podkarpackie	przemyska (łac)	Solina	podkarpackie
Najświętszej Maryi Panny Królowej Polski	Cierpice	Najświętszej Maryi Panny Królowej Polski|87-110 Cierpice|woj. kujawsko-pomorskie	toruńska	Toruń IV	kujawsko-pomorskie
Najświętszej Maryi Panny Królowej Polski	Jelcz-Laskowice	Najświętszej Maryi Panny Królowej Polski|ul. Oławska 265|55-220 Jelcz-Laskowice|woj. dolnośląskie	wrocławska	Jelcz-Laskowice	dolnośląskie
Najświętszej Maryi Panny Królowej Polski	Poniatowice	Najświętszej Maryi Panny Królowej Polski|Poniatowice 86|56-400 Poniatowice|woj. dolnośląskie	wrocławska	Oleśnica Śląska-Wschód	dolnośląskie
Najświętszej Maryi Panny Królowej Polski	Januszkowice	Najświętszej Maryi Panny Królowej Polski|Januszkowice 34b|55-095 Januszkowice|woj. dolnośląskie	wrocławska	Oleśnica Śląska-Zachód	dolnośląskie
Najświętszej Maryi Panny Królowej Polski	Wrocław	Najświętszej Maryi Panny Królowej Polski|ul. Karmelkowa 94|52-319 Wrocław|woj. dolnośląskie	wrocławska	Wrocław-Krzyki	dolnośląskie
Najświętszej Maryi Panny Królowej Polski	Wrocław	Najświętszej Maryi Panny Królowej Polski|ul. Jerzmanowska 96|54-530 Wrocław|woj. dolnośląskie	wrocławska	Wrocław-Zachód (Leśnica)	dolnośląskie
Najświętszej Maryi Panny Królowej Polski	Głogów	Najświętszej Maryi Panny Królowej Polski|pl. Kard. Wyszyńskiego 1|67-200 Głogów|woj. dolnośląskie	zielonogórsko-gorzowska	Głogów-N.M.P. Królowej Polski	dolnośląskie
Najświętszej Maryi Panny Królowej Polski	Gorzów Wielkopolski	Najświętszej Maryi Panny Królowej Polski|ul. Żeromskiego 22|66-400 Gorzów Wielkopolski|woj. lubuskie	zielonogórsko-gorzowska	Gorzów Wielkopolski-Świętej Trójcy	lubuskie
Najświętszej Maryi Panny Królowej Polski	Słubice	Najświętszej Maryi Panny Królowej Polski|ul. 1 Maja 31|69-100 Słubice|woj. lubuskie	zielonogórsko-gorzowska	Rzepin	lubuskie
Najświętszej Maryi Panny Królowej Polski	Świebodzin	Najświętszej Maryi Panny Królowej Polski|Park Chopina 4|66-200 Świebodzin|woj. lubuskie	zielonogórsko-gorzowska	Świebodzin	lubuskie
Najświętszej Maryi Panny Królowej Polski	Łódź	Najświętszej Maryi Panny Królowej Polski|ul. Zgierska 230/232|91-362 Łódź|woj. łódzkie	łódzka	Łódź-Radogoszcz	łódzkie
Najświętszej Maryi Panny Królowej Polski	Ozorków	Najświętszej Maryi Panny Królowej Polski|ul. Adamówek 4/6|95-035 Ozorków|woj. łódzkie	łódzka	Ozorków	łódzkie
Najświętszej Maryi Panny Królowej Polski	Włodzimierzów	Najświętszej Maryi Panny Królowej Polski|Włodzimierzów ul.Kardynała Wyszyńskiego 4/8|97-330 Włodzimierzów|woj. łódzkie	łódzka	Sulejów	łódzkie
Najświętszej Maryi Panny Królowej Polski	Tomaszów Mazowiecki	Najświętszej Maryi Panny Królowej Polski|ul.Słowackiego 13/19|97-200 Tomaszów Mazowiecki|woj. łódzkie	łódzka	Tomaszów Mazowiecki	łódzkie
Najświętszej Maryi Panny Królowej Polski	SZULBORZE	Najświętszej Maryi Panny Królowej Polski|ul.Jana Pawła II 3|18-324 SZULBORZE	łomżyńska	Czyżew	
Najświętszej Maryi Panny Królowej Polski	OLSZEWO BORKI	Najświętszej Maryi Panny Królowej Polski|ul.3 Maja 33|OLSZEWO BORKI	łomżyńska	Ostrołęka-Nawiedzenia Najświętszej Maryi Panny	
Najświętszej Maryi Panny Królowej Polski	KURZESZYN	Najświętszej Maryi Panny Królowej Polski|Kurzeszyn 3|96-204 KURZESZYN	łowicka	Rawa Mazowiecka	
Najświętszej Maryi Panny Królowej Polski	PRZERZECZYN ZDRÓJ	Najświętszej Maryi Panny Królowej Polski|Przerzeczyn Zdrój ul.Zdrojowa 26|58-231 PRZERZECZYN ZDRÓJ|woj. dolnośląskie	świdnicka	Dzierżoniów-Południe	dolnośląskie
Najświętszej Maryi Panny Królowej Polski	GŁUSZYCA	Najświętszej Maryi Panny Królowej Polski|ul.Kłodzka 56|58-340 GŁUSZYCA|woj. dolnośląskie	świdnicka	Głuszyca	dolnośląskie
Najświętszej Maryi Panny Królowej Polski	ŚWIDNICA	Najświętszej Maryi Panny Królowej Polski|ul.Prądzyńskiego 2|58-100 ŚWIDNICA|woj. dolnośląskie	świdnicka	Świdnica-Zachód	dolnośląskie
Najświętszej Maryi Panny Królowej Polski	WARSZAWA	Najświętszej Maryi Panny Królowej Polski|ul.Długa 13/15|00-238 WARSZAWA|woj. mazowieckie	ordynariat polowy	Garnizon Warszawa	mazowieckie
Najświętszej Maryi Panny Królowej Polski	GNIEZNO	Najświętszej Maryi Panny Królowej Polski|ul.Chrobrego 13|62-200 GNIEZNO|woj. wielkopolskie	ordynariat polowy	Siły Powietrzne	wielkopolskie
Najświętszej Maryi Panny Królowej Polski	PRZEMYŚL	Najświętszej Maryi Panny Królowej Polski|ul.Karmelicka 1|37-700 PRZEMYŚL|woj. podkarpackie	ordynariat polowy	Straż Graniczna	podkarpackie
Najświętszej Maryi Panny Królowej Polski	Dąbrowa Górnicza	Najświętszej Maryi Panny Królowej Polski|ul.Morcinka 9|41-303 Dąbrowa Górnicza	sosnowiecka	Dąbrowa Górnicza-Św. Antoniego	
Najświętszej Maryi Panny Królowej Polski	Czeremcha	Najświętszej Maryi Panny Królowej Polski|ul. 1 Maja 76|17-240 Czeremcha|woj. podlaskie	drohiczyńska	Hajnówka	podlaskie
Najświętszej Maryi Panny Królowej Polski	Czernica	Najświętszej Maryi Panny Królowej Polski|ul. Sobieskiego 15|44-282 Czernica|woj. śląskie	katowicka	Pszów	śląskie
Najświętszej Maryi Panny Królowej Polski	Bystrzyca Stara	Najświętszej Maryi Panny Królowej Polski|Bystrzyca Stara 92 B|23-107 Bystrzyca Stara|woj. lubelskie	lubelska	Bychawa	lubelskie
Najświętszej Maryi Panny Królowej Polski	Jastków	Najświętszej Maryi Panny Królowej Polski|ul. Warszawska 24|21-002 Jastków|woj. lubelskie	lubelska	Garbów	lubelskie
Najświętszej Maryi Panny Królowej Polski	Zagłoba	Najświętszej Maryi Panny Królowej Polski|Zagłoba|24-313 Zagłoba|woj. lubelskie	lubelska	Opole Lubelskie	lubelskie
Najświętszej Maryi Panny Królowej Polski	Grabówka	Najświętszej Maryi Panny Królowej Polski|Grabówka Stara|27-635 Grabówka	lubelska	Urzędów	
Najświętszej Maryi Panny Królowej Polski	Studzianki	Najświętszej Maryi Panny Królowej Polski|Studzianki|23-213 Studzianki|woj. lubelskie	lubelska	Zakrzówek	lubelskie
Najświętszej Maryi Panny Królowej Polski	Lipowina	Najświętszej Maryi Panny Królowej Polski|Lipowina 25A|14-528 Lipowina	warmińska (olsztyńska)	Braniewo	
Najświętszej Maryi Panny Królowej Polski	Napiwoda	Najświętszej Maryi Panny Królowej Polski|Napiwoda 90|13-104 Napiwoda	warmińska (olsztyńska)	Nidzica	
Najświętszej Maryi Panny Królowej Polski	Lębork	Najświętszej Maryi Panny Królowej Polski|Pl. Kopernika 6|84-300 Lębork|woj. pomorskie	pelplińska	Lębork	pomorskie
Najświętszej Maryi Panny Królowej Polski	Bukowiec Pomorski	Najświętszej Maryi Panny Królowej Polski|ul. Młyńska 4|86-122 Bukowiec Pomorski|woj. kujawsko-pomorskie	pelplińska	Lubiewo	kujawsko-pomorskie
Najświętszej Maryi Panny Królowej Polski	Mątawy	Najświętszej Maryi Panny Królowej Polski|Mątawy 65|86-170 Mątawy|woj. kujawsko-pomorskie	pelplińska	Nowe	kujawsko-pomorskie
Najświętszej Maryi Panny Królowej Polski	Piątkowa	Najświętszej Maryi Panny Królowej Polski|36-035 Piątkowa	przemyska (łac)	Błażowa	
Najświętszej Maryi Panny Królowej Polski	Pełkinie	Najświętszej Maryi Panny Królowej Polski|Pełkinie 178|37-511 Pełkinie|woj. podkarpackie	przemyska (łac)	Jarosław I	podkarpackie
Najświętszej Maryi Panny Królowej Polski	Hermanowice	Najświętszej Maryi Panny Królowej Polski|Hermanowice 61|37-733 Hermanowice|woj. podkarpackie	przemyska (łac)	Kalwaria Pacławska	podkarpackie
Najświętszej Maryi Panny Królowej Polski	Korczyna	Najświętszej Maryi Panny Królowej Polski|ul. Bp Pelczara 11|38-420 Korczyna|woj. podkarpackie	przemyska (łac)	Krosno II	podkarpackie
Najświętszej Maryi Panny Królowej Polski	Ostrów k. Radymna	Najświętszej Maryi Panny Królowej Polski|Ostrów k.Radymna 131|37-550 Ostrów k. Radymna|woj. podkarpackie	przemyska (łac)	Radymno I	podkarpackie
Najświętszej Maryi Panny Królowej Polski	Pionki	Najświętszej Maryi Panny Królowej Polski|Al. Lipowe 29a|26-670 Pionki|woj. mazowieckie	radomska	Pionki	mazowieckie
Najświętszej Maryi Panny Królowej Polski	Kłonówek	Najświętszej Maryi Panny Królowej Polski|Kłonówek|26-634 Kłonówek|woj. mazowieckie	radomska	Radom-Wschód	mazowieckie
Najświętszej Maryi Panny Królowej Polski	Starachowice	Najświętszej Maryi Panny Królowej Polski|ul. Lenartowska 23|27-217 Starachowice	radomska	Starachowice-Południe	
Najświętszej Maryi Panny Królowej Polski	Zachwiejów	Najświętszej Maryi Panny Królowej Polski|Zachwiejów 47|39-340 Zachwiejów|woj. podkarpackie	sandomierska	Baranów Sandomierski	podkarpackie
Najświętszej Maryi Panny Królowej Polski	Nisko-Malce	Najświętszej Maryi Panny Królowej Polski|ul. Ks. Węgrzynowskiego 1|37-400 Nisko-Malce|woj. podkarpackie	sandomierska	Nisko	podkarpackie
